$distinct_id,$email,$name
"uuid01","randuser1@randomdomain1.com","UserX47B1"
"uuid02","randuser2@randomdomain2.net","UserF92K2"
"uuid03","randuser3@randomdomain3.org","UserA17L3"
"uuid04","randuser4@randomdomain4.io","UserQ89Z4"
"uuid05","randuser5@randomdomain5.com","UserJ45G5"
"uuid06","randuser6@randomdomain6.net","UserU67H6"
"uuid07","randuser7@randomdomain7.org","UserE21C7"
"uuid08","randuser8@randomdomain8.io","UserR35P8"
"uuid09","randuser9@randomdomain9.com","UserL58Q9"
"uuid10","randuser10@randomdomain10.net","UserD43S10"
"uuid11","randuser11@randomdomain11.org","UserN54T11"
"uuid12","randuser12@randomdomain12.io","UserW76U12"
"uuid13","randuser13@randomdomain13.com","UserV23W13"
"uuid14","randuser14@randomdomain14.net","UserG62Y14"
"uuid15","randuser15@randomdomain15.org","UserC41R15"
